tag,category,aliases(if enabled)
toothbrush,General,
chain_leash,General,collar_with_chain
rubbing_eyes,General,"eye_rub,rubbing_eye,wiping_eyes"
asticassia_school_uniform,General,
purple_sky,General,
grey_neckerchief,General,
brown_sailor_collar,General,
string_of_flags,General,
arch,General,
attack,General,
feather_trim,General,
graffiti,General,
hill,General,hills
abstract,General,
restaurant,General,
star_halo,General,
robot_girl,General,
snowflake_print,General,
paradis_military_uniform,General,
orc,General,ork
yellow_vest,General,
over-rim_eyewear,General,"over-rim_glasses,over_rim_glasses"
american_flag_dress,General,
ok_sign,General,ok
orange_neckerchief,General,
brown_theme,General,
darkness,General,
orange_bodysuit,General,
candlestand,General,candlestick
borrowed_clothes,General,borrowed_garments
unworn_shirt,General,"shirt_off,shirt_removed"
drawing_(object),General,picture_(object)
hand_on_own_leg,General,
hand_on_another's_ass,General,
print_bowtie,General,
princess,General,
giving,General,
mating_press,General,
2020,General,
mechabare,General,
jackal_ears,General,
hip_bones,General,"pelvic_bone,pelvic_bones"
shower_head,General,
wedding,General,marriage
fur_coat,General,
onee-loli,General,
stray_pubic_hair,General,
holding_popsicle,General,
nanamori_school_uniform,General,
character_hair_ornament,General,
wife_and_wife,General,
ankle_ribbon,General,
flame-tipped_tail,General,"fire-tipped_tail,flame_tipped_tail,flaming_tip_tail,tail-tip_fire"
car_interior,General,inside_car
sitting_on_face,General,"face_sitting,facesitting,sit_on_face"
chest_strap,General,
tokusatsu,General,
bamboo_forest,General,
bulletproof_vest,General,"kevlar_vest,plate_carrier"
breastless_clothes,General,breastless_clothing
bow_bikini,General,
white_sash,General,
mismatched_bikini,General,
cold,General,
worried,General,concerned
shoe_dangle,General,"flats_dangling,heels_dangling"
sunburst,General,
shirt_tug,General,
fetal_position,General,
skull_and_crossbones,General,
confused,General,
bento,General,"bento-box,bento_box,bentou,obento,obentou"
cellphone_photo,General,cellphone_picture
moss,General,
purple_umbrella,General,
bread_slice,General,slice_of_bread
pink_bodysuit,General,
neck_ruff,General,
vibrator_under_clothes,General,
porkpie_hat,General,
yellow_horns,General,
large_tail,General,big_tail
white_theme,General,
desert,General,
daisy,General,"aster_(flower),daisies,daisy_(flower)"
naked_sweater,General,
blue_bag,General,blue_backpack
character_print,General,
thigh_sex,General,"intercrural,intercrural_sex,straddle_penis,sumata,thigh_job,thighjob"
bandaged_neck,General,
yunomi,General,
quill,General,feather_pen
kurokote,General,
broken_horn,General,
talisman,General,
ghost_tail,General,
sailor_bikini,General,
trefoil,General,
grey_kimono,General,
brown_cape,General,
greco-roman_clothes,General,
oversized_shirt,General,
pink-framed_eyewear,General,pink-framed_glasses
see-through_skirt,General,transparent_skirt
crossed_bandaids,General,x_bandaids
denim_skirt,General,jean_skirt
licking_finger,General,"finger_licking,licking_fingers"
full_beard,General,
torn_shorts,General,ripped_shorts
green_neckerchief,General,
beach_towel,General,
two-handed,General,two_handed
fanny_pack,General,
dress_flower,General,
nose_piercing,General,
snowflake_hair_ornament,General,
grey-framed_eyewear,General,silver-framed_eyewear
fewer_digits,General,3finger_hand
arabian_clothes,General,
twitching_penis,General,trembling_penis
plaid_necktie,General,
thumb_ring,General,
cum_on_legs,General,"cum_on_leg,cum_on_thighs"
hands_in_opposite_sleeves,General,hands_in_sleeves
rod_of_remorse,General,
peeking,General,"peek,peeping,spying"
tombstone,General,"grave_stone,gravestone,headstone"
american_flag_bikini,General,
turtle_shell,General,
rei_no_himo,General,
striped_bra,General,
moonlight,General,
dreadlocks,General,"hair_loc,hair_locs,hairlocs"
colored_inner_animal_ears,General,
panda,General,
open_shorts,General,
shimakaze_(kancolle)_(cosplay),General,
suspension,General,suspended
heart_o-ring,General,heart_ring
clothes_hanger,General,coat_hanger
shaved_ice,General,"kakigoori,kakigori,shavedice"
faux_traditional_media,General,/ftrad
paddle,General,
mechanical_tail,General,
uneven_gloves,General,asymmetrical_gloves
duffel_bag,General,gym_bag
dessert,General,
obliques,General,
slime_(creature),General,
shako_cap,General,
grimace,General,
frilled_capelet,General,
melting,General,
shared_clothes,General,
single_fingerless_glove,General,
latex_bodysuit,General,
kabedon,General,wall_slam
mechanical_horns,General,
tailcoat,General,
flustered,General,
sunrise,General,
striped_sleeves,General,
furry_with_furry,General,
arched_bangs,General,
pirate,General,pirates
tall_female,General,
aqua_bikini,General,
blur_censor,General,
lemon_slice,General,
holding_game_controller,General,
light_bulb,General,lightbulb
sigh,General,sighing
emoji,General,
brown_socks,General,brown_kneehighs
purple_sailor_collar,General,
holding_panties,General,
impossible_bodysuit,General,
bare_hips,General,
impregnation,General,impregnate
bad_feet,General,
bound_ankles,General,
pig,General,"piglet,pigs"
wide_ponytail,General,
teardrop_facial_mark,General,
instrument_case,General,
enpera,General,hair_in_scarf
naked_jacket,General,"naked_gakuran,naked_track_jacket"
cat_print,General,
orange_fur,General,
corpse,General,
finger_to_own_chin,General,finger_to_chin
shrimp,General,prawn
heart_hands_duo,General,
soccer_ball,General,football_(object)
roman_numeral,General,"roman_number,roman_numbers,roman_numerals"
cliff,General,
safety_pin,General,
false_smile,General,fake_smile
swirl_lollipop,General,
spatula,General,
upturned_eyes,General,
grey_border,General,gray_border
skirt_tug,General,
holding_pencil,General,
fellatio_gesture,General,blowjob_gesture
orange_hat,General,
green_choker,General,
brown_kimono,General,brown_yukata
turnaround,General,
legwear_garter,General,"sock_garters,thighhigh_garter"
g-string,General,g_string
keyhole,General,
buzz_cut,General,
user_interface,General,
horseback_riding,General,
horizontal-striped_thighhighs,General,
no_feet,General,
after_ejaculation,General,
caught,General,
eyebrow_cut,General,scar_through_eyebrow
pink_eyeshadow,General,
meiji_schoolgirl_uniform,General,
sweets,General,
cum_on_penis,General,
sideburns_stubble,General,
yellow_hoodie,General,
padlock,General,
kuromorimine_military_uniform,General,
bandaid_on_pussy,General,
uneven_sleeves,General,asymmetrical_sleeves
rug,General,
reflective_floor,General,
purple_belt,General,
playing_with_own_hair,General,
gown,General,
backless_leotard,General,
red_fur,General,
cocktail_glass,General,martini_glass
oversized_animal,General,giant_animal
snake_tail,General,
typo,General,
no_eyewear,General,no_glasses
white_romper,General,
shoulder_carry,General,shoulder_ride
flaming_eye,General,"burning_eye,fiery_eye"
ribbon-trimmed_skirt,General,
red_trim,General,
ribbon-trimmed_thighhighs,General,
disembodied_head,General,detached_head
futa_with_male,General,"futa_on_male,male_on_futa"
aegyo_sal,General,
breast_slip,General,boob_slip
mallet,General,
dove,General,"doves,white_dove"
holding_swim_ring,General,"holding_innertube,holding_lifebuoy"
baseball_uniform,General,
black_pubic_hair,General,
monsterification,General,
cheating_(relationship),General,cheating
dirty_clothes,General,
transparent_umbrella,General,
humiliation,General,
sword_on_back,General,
instagram_username,General,
starry_sky_print,General,
studded_belt,General,"stud_belt,studbelt"
burning,General,on_fire
urethra,General,
pink_belt,General,
pink_fur,General,
hand_on_another's_neck,General,
grey_necktie,General,
world_war_ii,General,"/wwii,wwii"
multicolored_fur,General,
black_rose,General,black_rose_(flower)
real_life_insert,General,
champagne_flute,General,
santa_bikini,General,
milk_bottle,General,
strawberry_shortcake,General,
o3o,General,.3.
skewer,General,
calendar_(object),General,
cyberpunk,General,
plectrum,General,guitar_pick
small_sweatdrop,General,
bandage_on_face,General,
hands_on_another's_head,General,
veiny_arms,General,
flexing,General,flex
alternate_legwear,General,
walk-in,General,walk_in
wire,General,wires
blue_horns,General,
brown_necktie,General,
town,General,
cum_on_male,General,cum_on_boy
anal_fingering,General,"fingering_ass,fingering_asshole"
fish_hair_ornament,General,
patch,General,patches
counter,General,countertop
hadanugi_dousa,General,
spoken_character,General,spoken_person
cuddling,General,"cuddle,snuggle"
red_bandana,General,
carrying_over_shoulder,General,
two-tone_bodysuit,General,
rice_bowl,General,"ricebowl,rice_bowls"
blue_eyeshadow,General,
nape,General,kubisuji
balcony,General,
creator_connection,General,artist_connection
mop,General,
nose_bubble,General,snot_bubble
magazine_(object),General,"magazine,magazines"
stripper_pole,General,
black_garter_straps,General,
asphyxiation,General,suffocation
holding_stick,General,
pulling_another's_clothes,General,pulled_by_another
no_lineart,General,"lineless,no_line-art"
egg_(food),General,
pant_suit,General,"pants_suit,pantsuit"
long_shirt,General,t-shirt_dress
phimosis,General,
smiley_face,General,
striped_horns,General,
star_choker,General,
pillow_grab,General,
gem_uniform_(houseki_no_kuni),General,
spread_fingers,General,
red_sky,General,
tokkuri,General,sake_pottery_bottle
tribadism,General,scissoring
hands_on_lap,General,hands_in_lap
church,General,
korean_clothes,General,
green_socks,General,green_kneehighs
grey_sleeves,General,
tuxedo,General,
whipped_cream,General,
tulip,General,tulips
cervix,General,
yellow_sash,General,
pastry,General,
zero_suit,General,
green_lips,General,green_lipstick
inflatable_toy,General,
hooves,General,hoof
sleeping_upright,General,
high_contrast,General,
multicolored_bodysuit,General,
quarter_note,General,crotchet
;3,General,
heart_balloon,General,heart-shaped_balloon
creature_and_personification,General,
see-through_leotard,General,sheer_leotard
fried_egg,General,sunny_side_up_egg
drone,General,
fleeing,General,"escape,escaping,run_away,running_away"
ankle_cuffs,General,
sleep_molestation,General,somnophilia
multicolored_horns,General,
tacet_mark_(wuthering_waves),General,
spilling,General,
jingasa,General,
helm,General,
magatama_necklace,General,
looking_at_mirror,General,
hand_on_hilt,General,
roots_(hair),General,
white_male_underwear,General,white_underwear_(male)
sun_symbol,General,sun_(symbol)
puffy_shorts,General,
orange_thighhighs,General,
naoetsu_high_school_uniform,General,
party_hat,General,"birthday_hat,party_hats"
liquid,General,
bomber_jacket,General,flight_jacket
zombie_pose,General,jiangshi_pose
butterfly_print,General,
shading_eyes,General,
pink_pantyhose,General,
collared_cape,General,
fanbox_username,General,
steering_wheel,General,
turban,General,
insignia,General,military_insignia
volleyball,General,
unusually_open_eyes,General,
tree_shade,General,
goatee_stubble,General,
fishnet_top,General,fishnet_shirt
cube,General,cubes
hamster,General,
headlamp,General,
sleeping_on_person,General,sleeping_on_another
behind_another,General,
bisexual_female,General,bisexual_(female)
cover_image,General,
potato_chips,General,potato_chip
year_of_the_rabbit,General,
orange_scarf,General,
vending_machine,General,
different_reflection,General,
afro,General,
eraser,General,
russian_text,General,russian
gorget,General,
surfboard,General,
clothed_female_nude_female,General,"/cfnf,cfnf,clothed_female_naked_female,nude_female_clothed_female"
wreath,General,
yellow_belt,General,
2019,General,
space_helmet,General,astronaut_helmet
boxers,General,boxer_shorts
steam_censor,General,"censor_steam,convenient_bath_steam"
milk_carton,General,
hexagram,General,
crazy_smile,General,
lace_bra,General,
side_up_bun,General,
utaite,General,utaite_(singer)
white_headdress,General,
footprints,General,footprint
wrestling_outfit,General,
incoming_attack,General,attacking_viewer
fine_art_parody,General,
cat_ear_panties,General,
flat_ass,General,no_ass
harem,General,
samurai,General,
blowing_kiss,General,"air_kiss,blown_kiss,flying_kiss,thrown_kiss"
kitauji_high_school_uniform,General,
year_of_the_tiger,General,
fiery_hair,General,"fire_hair,flaming_hair"
long_tail,General,
pink_pajamas,General,
curry,General,
brown_hairband,General,
basketball,General,
caterpillar_tracks,General,
see-through_legwear,General,sheer_legwear
dust,General,
cumulonimbus_cloud,General,
bear_hair_ornament,General,
vertical-striped_skirt,General,
sticker_on_face,General,"cheek_ornament,cheek_sticker,sticker_on_cheek"
sleeve_bow,General,
bat_ears,General,
alley,General,
eyebrow_piercing,General,
hickey,General,
orange_scrunchie,General,
toast,General,
fake_phone_screenshot,General,"lock_screen,phone_screen"
greatsword,General,
lip_piercing,General,
bit_gag,General,bitgag
juice_box,General,juicebox
negligee,General,
purple_sash,General,purple_obi
look-alike,General,"appearance_connection,look_alike,lookalike"
goat_ears,General,
long_sidelocks,General,
tied_up_(nonsexual),General,"tied,tied_up"
ofuda_on_clothes,General,
bird_legs,General,
roller_skates,General,
aroused,General,
cousins,General,
toon_(style),General,"cartoon,toon"
hand_in_panties,General,finger_in_panties
bird_on_hand,General,"bird_in_hand,bird_on_finger"
carrot_necklace,General,
ainu_clothes,General,
pith_helmet,General,
red_one-piece_swimsuit,General,red_swimsuit
pink_vest,General,
lace-trimmed_sleeves,General,
veiny_breasts,General,
white_bird,General,
sparse_pubic_hair,General,
glowing_sword,General,
yellow_bag,General,yellow_backpack
industrial_pipe,General,"pipe_(industrial),pipe_(plumbing),pipes"
hikimayu,General,
cooking_pot,General,pot_(cooking)
fake_wings,General,faux_wings
yugake,General,
clothes_down,General,clothing_down
mole_under_each_eye,General,
gold_choker,General,
thigh_ribbon,General,thigh_lace-up
falling_feathers,General,
scar_on_neck,General,neck_scar
single_gauntlet,General,
ancient_greek_clothes,General,greek_clothes
stitched_face,General,
grey_scarf,General,
chemise,General,
short_sword,General,
cave,General,caves
pink_coat,General,
leotard_pull,General,
thick_eyelashes,General,
baseball,General,
deviantart_username,General,
shoulder_boards,General,
cafe,General,coffee_shop
censored_nipples,General,nipple_censor
winged_helmet,General,wing_helmet
seamed_legwear,General,
boxing_gloves,General,boxing_glove
wrinkled_skin,General,wrinkles
adjusting_gloves,General,
under_table,General,"under_desk,under_the_table"
multicolored_shirt,General,multicolored_blouse
bangboo_(zenless_zone_zero),General,
oni_mask,General,
blood_from_eyes,General,"blood_tears,bloody_tears,crying_blood"
holding_another's_hair,General,
hitachi_magic_wand,General,wand_vibrator
school_hat,General,kindergarten_hat
keyboard_(instrument),General,electric_keyboard
coral,General,corals
alternate_skin_color,General,
team_rocket,General,
wooden_table,General,
hand_on_another's_stomach,General,
licking_nipple,General,"licking_nipples,nipple_lick,nipple_licking"
fourth_wall,General,4th_wall
have_to_pee,General,need_to_pee
sideways,General,
hyur,General,
skull_print,General,
drawer,General,drawers
purple_eyeshadow,General,
crotchless_panties,General,
torch,General,
vial,General,vials
bow_choker,General,
hands_on_own_thighs,General,
head_on_another's_shoulder,General,head_on_shoulder
pearl_(gemstone),General,
pool_ladder,General,
untucked_shirt,General,
rocket_launcher,General,"missile_launcher,recoilless_rifle"
grey_belt,General,gray_belt
sleeve_garter,General,
plaid_bikini,General,
cropped_vest,General,
traditional_nun,General,
open-chest_sweater,General,keyhole_sweater
ufo,General,
black_sweater_vest,General,
nail_(hardware),General,
cameo,General,
sparks,General,spark
stuck,General,
cherry_blossom_print,General,
multicolored_leotard,General,
black_male_underwear,General,black_underwear_(male)
bandaid_hair_ornament,General,
spinning,General,"spin,twirling"
poke_ball_print,General,
barcode_tattoo,General,
holstered,General,holstered_weapon
whale,General,
holding_whip,General,
leaning_on_object,General,
cheek_pinching,General,"cheek_pinch,pinching_cheek,pinching_cheeks"
blue_armor,General,
patchwork_skin,General,
neckwear_grab,General,
blood_stain,General,"blood_stains,bloodstains"
sangvis_ferri,General,
power_symbol,General,
teasing,General,tease
2018,General,
tape_gag,General,"tapegag,tape_gagged"
holding_cane,General,holding_walking_stick
blue_collar,General,
white_armor,General,
millennium_cheerleader_outfit_(blue_archive),General,
cloud_print,General,
mustache_stubble,General,
caustics,General,caustic_lighting
happy_tears,General,
shuriken,General,throwing_stars
lace-trimmed_thighhighs,General,
drawing_tablet,General,
covering_nipples,General,
rubble,General,
pyrokinesis,General,"fire_magic,fire_manipulation"
untied_panties,General,
trick_or_treat,General,
crepe,General,
thrusters,General,
whisk,General,eggbeater
text-only_page,General,text_only_page
constellation_print,General,
ace_(playing_card),General,ace
manga_(object),General,"doujin_(object),doujinshi_(object)"
pink_blood,General,
straddling_paizuri,General,
vertical-striped_pantyhose,General,
cheek_poking,General,"cheek_poke,poking_cheek,poking_cheeks"
dreaming,General,dream
shortstack,General,short_stack
multicolored_gloves,General,
bowl_cut,General,
star_necklace,General,
naked_coat,General,"naked_fur_coat,naked_jacket,nude_coat"
orange_choker,General,
mouth_veil,General,
product_placement,General,brand_name
breasts_on_glass,General,breasts_against_glass
fine_fabric_emphasis,General,
pulling,General,
fake_antlers,General,
reflection_focus,General,
cropped_hoodie,General,
satchel,General,
briefs,General,
sports_car,General,supercar
sketchbook,General,sketchpad
yellow_choker,General,
surrounded_by_penises,General,
buck_teeth,General,
triangle_earrings,General,
gold_armor,General,
two-tone_footwear,General,
finger_in_own_mouth,General,"finger_in_mouth,finger_inside_mouth,fingers_in_mouth,fingers_inside_mouth"
pink-tinted_eyewear,General,
blue_brooch,General,
palm_leaf,General,
blue_headband,General,
loose_clothes,General,
comb,General,hair_comb
barrel,General,
seigaiha,General,
refrigerator,General,fridge
tam_o'_shanter,General,
turtle,General,
ovum,General,
sword_of_hisou,General,
window_shadow,General,window_shade
black_bridal_gauntlets,General,
green_apron,General,
squirrel,General,
spread_wings,General,
lycoris_uniform,General,
sweatpants,General,sweat_pants
birdcage,General,bird_cage
dalachi_(headdress),General,
blueberry,General,"blueberries,blue_berry"
swing,General,swings
cabinet,General,
tarot,General,"tarot_card,tarot_cards"
eye_focus,General,eyes_focus
jersey,General,"official_jersey,sports_jersey"
triangle_hair_ornament,General,
purple_horns,General,
flame_print,General,fire_print
standing_on_liquid,General,standing_on_water
stiletto_heels,General,
mage_staff,General,
alarm_clock,General,
heart_button,General,heart-shaped_buttons
screentones,General,
musical_staff,General,
bad_hands,General,
square_4koma,General,
shared_scarf,General,scarf_sharing
office,General,
blue-tinted_eyewear,General,
chandelier,General,
title,General,
haneoka_school_uniform,General,
pastel_colors,General,
purple_capelet,General,
spandex,General,
holly,General,
shark_hood,General,
trumpet,General,
morning,General,
leg_belt,General,
against_railing,General,leaning_on_rail
festival,General,
cyclops,General,
claw_(weapon),General,
curly_eyebrows,General,
holding_scissors,General,
skull_mask,General,
impossible_dress,General,
halloween_bucket,General,"halloween_basket,pumpkin_basket,pumpkin_bucket"
convenient_arm,General,
knees_apart_feet_together,General,
nengajou,General,
walkie-talkie,General,walkie_talkie
st._gloriana's_school_uniform,General,
fff_threesome,General,
head_between_breasts,General,head_in_breasts
pocky_day,General,pepero_day
red_hood,General,
flower_ornament,General,
feather-trimmed_sleeves,General,
taiyaki,General,
holding_helmet,General,
tricorne,General,tricorne_hat
guitar_case,General,
butler,General,
prayer_beads,General,
skirt_around_one_leg,General,
tickling,General,tickle
crotch_plate,General,
rabbit_ear_hairband,General,
purple-tinted_eyewear,General,
traffic_light,General,"stoplight,traffic_lights,traffic_signal"
beam_rifle,General,
racket,General,
low-tied_sidelocks,General,low_tied_sidelocks
chicken_(food),General,
faucet,General,
tail_bell,General,"tailbell,tail_bells,tailbells"
naked_bandage,General,nude_bandage
diving_mask,General,
pond,General,
watering_can,General,"watering_pail,watering_pot"
beckoning,General,beckon
single_vertical_stripe,General,
orange_pants,General,
pearl_earrings,General,
tactical_clothes,General,tactical_clothing
fur-trimmed_cloak,General,
painterly,General,
pencil_dress,General,
mechanical_hands,General,
energy_ball,General,
3others,General,
sweatband,General,"sweat_band,sweat_bands,sweatbands"
wooden_bucket,General,
two-tone_ribbon,General,
puffy_pants,General,
impossible_leotard,General,
baguette,General,french_bread
body_freckles,General,
tight_shirt,General,
tripping,General,"trip,tripped"
alternate_headwear,General,"/ahw,alternate_hat,alternative_hat,alternative_headwear"
hand_on_eyewear,General,hand_on_glasses
pale_color,General,pale_colors
hair_ears,General,
year_of_the_ox,General,
holding_brush,General,
gold_hairband,General,
sweater_around_waist,General,
black_buruma,General,
censored_identity,General,eye_censor
champion's_tunic_(zelda),General,
sweet_potato,General,"yam,yams"
starter_pokemon_trio,General,
plaid_pants,General,
selfcest,General,
spoken_sweatdrop,General,
aqua_jacket,General,
fur-trimmed_legwear,General,
age_progression,General,
dynamax_band,General,
shoulder_strap,General,
prostitution,General,prostitute
lipstick_tube,General,red_lipstick_tube
window_blinds,General,blinds
open_skirt,General,
incoming_gift,General,
drinking_straw_in_mouth,General,straw_in_mouth_(drinking)
elbow_carry,General,
spider,General,
flower_tattoo,General,
little_busters!_school_uniform,General,
buttoned_cuffs,General,
arm_wrap,General,arm_wraps
striker_unit,General,striker_units
bondage_outfit,General,
holding_pillow,General,
breast_bondage,General,
hawaiian_shirt,General,aloha_shirt
holding_ice_cream,General,
wind_chime,General,windchime
checkered_necktie,General,
swim_briefs,General,"speedo,swimming_briefs"
multiple_braids,General,
multiple_condoms,General,
video_camera,General,
tangzhuang,General,
shower_(place),General,
hakama_pants,General,hakama_shorts
holding_gohei,General,
polka_dot_dress,General,polka-dot_dress
brown_tail,General,
striped_sweater,General,
tennis_uniform,General,
fur-trimmed_skirt,General,
stole,General,
breast_curtain,General,breast_veil
bow_(music),General,"bow_(instrument),bow_(musical),violin_bow"
brushing_hair,General,"combing,combing_hair,hair_brushing,hairbrushing"
railroad_tracks,General,"railroad,railway_tracks,train_tracks"
poncho,General,
strapless_bra,General,
long_beard,General,
wooden_wall,General,
yellow_coat,General,
rabbit_boy,General,
2016,General,
hands_on_headwear,General,hands_on_hat
holding_balloon,General,
when_you_see_it,General,
pink_collar,General,
kalashnikov_rifle,General,kalashinkov_rifle
curtain_grab,General,
beach_chair,General,
star_facial_mark,General,
scepter,General,sceptre
thigh_cutout,General,
d-pad,General,
hair_through_headwear,General,
omurice,General,rice_omelet
yellow_pants,General,
redesign,General,
purple_fur,General,
sleep_mask,General,sleeping_mask
goblin,General,
bow_earrings,General,
side-tie_leotard,General,
fangs_out,General,
fish_(food),General,
mars_symbol,General,"iron_sign,iron_symbol,male_sign,male_symbol,mars_sign"
open_pants,General,
pixiv_id,General,
mismatched_pubic_hair,General,
slap_mark,General,spank_mark
spiked_armlet,General,
face_to_breasts,General,
blue_cloak,General,
overcast,General,
forked_tongue,General,"snake_tongue,split_tongue"
handsfree_ejaculation,General,untouched_ejaculation
volleyball_uniform,General,
animal_bag,General,animal_backpack
multicolored_bow,General,
thick_mustache,General,
hooded_robe,General,
puckered_anus,General,puffy_anus
calendar_(medium),General,
reach-around,General,"handjob_from_behind,reach_around,reacharound"
holding_leaf,General,
park_bench,General,
lion,General,
chaps,General,
claw_ring,General,finger_armor_ring
eyewear_strap,General,"eyewear_chain,glasses_chain"
ooarai_military_uniform,General,
skull_earrings,General,skull_earring
board_game,General,
combat_helmet,General,military_helmet
neon_lights,General,
poker_chip,General,"chip_(poker),poker_chips"
2017,General,
banknote,General,paper_money
health_bar,General,"hp_bar,lifebar"
utility_belt,General,
blue_tongue,General,
x,General,
mummy_costume,General,
bear_girl,General,
crotch_rub,General,
tanuki,General,
6+others,General,6others
bomb,General,
prehensile_hair,General,
shuuchiin_academy_school_uniform,General,shuuchiin_academy_uniform
yellow_wings,General,
menu,General,
pink_sailor_collar,General,
perineum,General,taint
column_lineup,General,
index_fingers_together,General,
chasing,General,chase
sidepec,General,
grabbing_another's_arm,General,
left-to-right_manga,General,"left-to-right,left_to_right_manga"
fake_facial_hair,General,
futanari_masturbation,General,newhalf_masturbation
blank_censor,General,full_censor
plaid_jacket,General,
excessive_cum,General,
tail_wrap,General,hugging_with_tail
bow_legwear,General,"bow_socks,bow_thighhighs,sock_bow,thighhigh_bow"
yellow_bra,General,
frilled_cuffs,General,
leather_belt,General,
if_they_mated,General,
sparkler,General,sparklers
pole_dancing,General,
wrestling,General,
holding_guitar,General,
super_robot,General,
blue_robe,General,
curled_fingers,General,
crystal_wings,General,
hand_tattoo,General,
ink,General,
chainmail,General,mail_armor
single_pantsleg,General,one_pantsleg
bandaid_on_hand,General,bandaid_on_finger
anti-materiel_rifle,General,"anti-material_rifle,anti_material_rifle,anti_materiel_rifle,anti-tank_rifle"
2015,General,
69,General,
neck_fur,General,
wolf_cut,General,
sanshoku_dango,General,"hanami_dango,tricolor_dango"
electrokinesis,General,electricity_manipulation
fertilization,General,
dwarf,General,"dwarfs,dwarves"
furrification,General,
full_nelson,General,
white_halo,General,
plate_armor,General,
respirator,General,
timestamp,General,time_stamp
layered_kimono,General,multilayer_kimono
marker,General,
orange_slice,General,
spring_(season),General,
choko_(cup),General,sake_cup
striped_shorts,General,
taut_dress,General,
skyline,General,city_skyline
implied_futanari,General,
color_connection,General,
symmetry,General,symmetrical
eyewear_on_headwear,General,
flip_phone,General,
fur-trimmed_kimono,General,
uneven_horns,General,
kappougi,General,
gradient_skin,General,
train_station,General,
white_mask,General,
group_picture,General,group_shot
strawberry_print,General,
hair_brush,General,hairbrush
drop-shaped_pupils,General,
camellia,General,camellia_(flower)
between_thighs,General,
blood_in_hair,General,"blood_on_hair,bloody_hair"
tri_tails,General,triple-tails
naked_sheet,General,nude_sheet
after_paizuri,General,
holding_water_gun,General,
biker_clothes,General,
school_emblem,General,
polo_shirt,General,
multicolored_coat,General,
heel_up,General,heel_raised
yellow_socks,General,yellow_kneehighs
loose_bowtie,General,
shoelaces,General,
suppressor,General,"silencer,sound_suppressor"
sitting_on_stairs,General,
bruise_on_face,General,
failure,General,fail
strap-on,General,"strap_on,strapon"
baseball_mitt,General,baseball_glove
excessive_pubic_hair,General,
choppy_bangs,General,
fishing,General,
platform_heels,General,
brown-framed_eyewear,General,brown-framed_glasses
viera,General,
wooden_fence,General,
pain,General,ouch
sports_bikini,General,
condom_packet_strip,General,
hairdressing,General,hair_dressing
setsubun,General,
inverted_cross,General,"antichrist_cross,cross_of_saint_peter,upside-down_cross"
doyagao,General,doya-gao
fish_girl,General,
plaid_background,General,/plaidbg
purple_hoodie,General,
pokemon_on_head,General,
magnifying_glass,General,magnifying_glasses
meandros,General,
dinosaur,General,
veranda,General,"engawa,verandah"
stationary_restraints,General,
checkered_kimono,General,checkered_yukata
white_trim,General,
projected_inset,General,
frilled_shorts,General,
gate,General,
through_clothes,General,
mini-hakkero,General,mini_hakkero
unconscious,General,
brown_cloak,General,
blue_sclera,General,
sleeveless_turtleneck_leotard,General,
blunt_tresses,General,
multiple_piercings,General,
crest,General,
pointing_at_another,General,
d-pad_hair_ornament,General,
strongman_waist,General,
monkey,General,
warship,General,
groin_tendon,General,
red_cross,General,
screen,General,
pet_play,General,petboy
multiple_scars,General,
breath_weapon,General,
scar_on_stomach,General,
hikarizaka_private_high_school_uniform,General,
aqua_theme,General,
dyed_bangs,General,
tube,General,tubes
holding_shoes,General,shoes_on_hands
nostrils,General,nostril
air_conditioner,General,"a/c,aircon"
pillbox_hat,General,
green_flower,General,
destruction,General,
mimikaki,General,ear_cleaner
cutout_above_navel,General,
spider_girl,General,
beamed_sixteenth_notes,General,beamed_semiquavers
pie,General,
disgust,General,disgusted
spanking,General,
ushanka,General,
hands_on_another's_cheeks,General,
square-end_necktie,General,
no_sclera,General,
photo_inset,General,
overgrown,General,
open_bra,General,"unfastened_bra,unhooked_bra,untied_bra"
ammunition_pouch,General,"ammo_pouch,magazine_pouch"
male_playboy_bunny,General,"bunny_suit_(male),bunnysuit_(male),playboy_bunny_(male)"
countdown,General,
twincest,General,
shared_umbrella,General,sharing_umbrella
holding_fireworks,General,holding_sparkler
artificial_vagina,General,"fleshlight,onahole,pocket_pussy"
arm_blade,General,
wheel,General,wheels
surprise_kiss,General,
purple_tail,General,
desk_lamp,General,
lettuce,General,
variations,General,
pussy_juice_puddle,General,
notepad,General,
head_bump,General,"bump,headbump"
pointy_nose,General,
dominatrix,General,
st._gloriana's_military_uniform,General,
inset,General,
penis_out,General,penis_outside
broken_halo,General,
cross_print,General,
butterfly_on_hand,General,butterfly_on_finger
white_eyelashes,General,
yellow_armband,General,
pink_wings,General,
pixiv_username,General,
presenting_foot,General,
striped_headwear,General,striped_hat
gradient_dress,General,
gatling_gun,General,gatling
pacifier,General,binky
column,General,columns
truck,General,lorry
neck,General,
two-tone_bowtie,General,
crosswalk,General,"pedestrian_crossing,zebra_crossing"
digitigrade,General,
old_woman,General,
brown_bowtie,General,
cross-laced_dress,General,
opening_door,General,
sideless_kimono,General,
berry,General,berries
against_tree,General,
nail_art,General,
battle_axe,General,
drying,General,toweling_off
._.,General,
m4_carbine,General,m4a1
wisteria,General,
white_hood,General,
sitting_in_tree,General,"sitting_on_tree,tree_sitting"
tissue,General,tissues
lizard_tail,General,salamander_tail
